stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
0001,0001,"Erin Mills Pky North Of Lincoln Green Way",,,  43.535249, -79.663644,,,0,,America/Toronto,1,,
0002,0002,"Erin Mills Pky At Paula Crt Walkway",,,  43.534534, -79.663118,,,0,,America/Toronto,1,,
0004,0004,"Eglinton Ave West Of East Mill Rd",,,  43.579365, -79.683931,,,0,,America/Toronto,1,,
0009,0009,"The Collegeway East Of Glen Erin Dr",,,  43.537222, -79.684341,,,0,,America/Toronto,1,,
0010,0010,"Explorer Dr At 5875 Explorer Dr",,,  43.654616, -79.616731,,,0,,America/Toronto,2,,
0011,0011,"Mclaughlin Rd At South Ceremonial Dr",,,  43.599851, -79.666981,,,0,,America/Toronto,1,,
0012,0012,"Creekbank Rd North Of Tech Ave",,,  43.643532, -79.615677,,,0,,America/Toronto,1,,
0014,0014,"Matheson Blvd At Solar Dr",,,  43.652747, -79.609733,,,0,,America/Toronto,1,,
0020,0020,"Matheson Blvd At Shuttle Dr",,,  43.660658, -79.600934,,,0,,America/Toronto,1,,
0021,0021,"Matheson Blvd West Of Orbitor Dr",,,  43.657669, -79.604165,,,0,,America/Toronto,1,,
0022,0022,"Tours Rd At Millers Grove",,,  43.571867, -79.754795,,,0,,America/Toronto,1,,
0023,0023,"Tours Rd East Of Winston Churchill Blvd",,,  43.574212, -79.751081,,,0,,America/Toronto,1,,
0024,0024,"Tours Rd At Windwood Dr",,,  43.575569, -79.749010,,,0,,America/Toronto,1,,
0025,0025,"Mclaughlin Rd South Of Britannia Rd",,,  43.616293, -79.689595,,,0,,America/Toronto,1,,
0026,0026,"Matheson Blvd At Whittle Rd",,,  43.621120, -79.667701,,,0,,America/Toronto,1,,
0027,0027,"Matheson Blvd East Of Whittle Rd",,,  43.622389, -79.663918,,,0,,America/Toronto,1,,
0028,0028,"Matheson Blvd At 267 Matheson Blvd",,,  43.622733, -79.661840,,,0,,America/Toronto,1,,
0029,0029,"Matheson Blvd At Mcadam Rd",,,  43.624168, -79.658239,,,0,,America/Toronto,1,,
0030,0030,"Matheson Blvd At Kennedy Rd",,,  43.625811, -79.655513,,,0,,America/Toronto,1,,
0031,0031,"Matheson Blvd At Timberlea Blvd",,,  43.631449, -79.644987,,,0,,America/Toronto,1,,
0032,0032,"Matheson Blvd At Ambler Dr",,,  43.639994, -79.632917,,,0,,America/Toronto,1,,
