route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
304,25OC27-CPBlock-Weekday-11,28926374,304 W Father Goetz Ss To School,,1,2716063,3040015,1,1
321,25OC27-CPBlock-Weekday-11,28926375,321 N  Stephen Lewis Ss To Joan Of Arc Ss,,0,2715979,3210028,1,1
321,25OC27-CPBlock-Weekday-11,28926376,321 N  Stephen Lewis Ss To Joan Of Arc Ss,,0,2715980,3210028,1,1
315,25OC27-CPBlock-Weekday-11,28926377,315 S Rick Hansen Ss To City Centre,,1,2716262,3150021,1,1
321,25OC27-CPBlock-Weekday-11,28926378,321 S Stephen Lewis Ss To Artesian,,1,2715959,3210027,1,1
321,25OC27-CPBlock-Weekday-11,28926379,321 S Stephen Lewis Ss To Artesian,,1,2716251,3210029,1,1
313,25OC27-CPBlock-Weekday-11,28926380,313 N Streetsville Ss To Meadowvale,,0,2715909,3130015,1,1
314,25OC27-CPBlock-Weekday-11,28926381,314 S Rick Hansen Ss To School,,1,2716149,3140028,1,1
314,25OC27-CPBlock-Weekday-11,28926382,314 N Rick Hansen Ss To Bristol,,0,2715958,3140029,1,1
302,25OC27-CPBlock-Weekday-11,28926383,302 W Philip Pocock Ss To City Centre,,1,2715955,3020024,1,1
13,25OC27-CPBlock-Weekday-11,28926384,13 S Glen Erin To Clarkson Go,,1,2716083,130139,1,1
315,25OC27-CPBlock-Weekday-11,28926385,315 N Rick Hansen Ss To School,,0,2715961,3150022,1,1
307,25OC27-CPBlock-Weekday-11,28926386,307 E Philip Pocock Ss To Kipling Terminal,,0,2715956,3070030,1,1
4,25OC27-CPBlock-Weekday-11,28926387,4 W North Service Road To Cooksville Go,,1,2716014,40190,1,1
4,25OC27-CPBlock-Weekday-11,28926388,4 E North Service Road To Sherway Gardens,,0,2716240,40199,1,1
306,25OC27-CPBlock-Weekday-11,28926389,306 S Streetsville Ss To Mavis,,1,2716250,3060013,1,1
2,25OC27-CPBlock-Weekday-11,28926390,2 N Hurontario To City Centre,,0,2716239,20022,1,1
8,25OC27-CPBlock-Weekday-11,28926391,8 N Cawthra To City Centre,,0,2716056,80241,1,1
8,25OC27-CPBlock-Weekday-11,28926392,8 N Cawthra To City Centre,,0,2716241,80241,1,1
13,25OC27-CPBlock-Weekday-11,28926393,13 N Glen Erin To Meadowvale,,0,2715989,130137,1,1
13,25OC27-CPBlock-Weekday-11,28926394,13 N Glen Erin To Meadowvale,,0,2715990,130140,1,1
2,25OC27-CPBlock-Weekday-11,28926395,2 S Hurontario To Port Credit Go,,1,2716040,20019,1,1
36,25OC27-CPBlock-Weekday-11,28926396,36 N Ridgeway To Winston Churchill Station,,0,2715914,360044,1,1
36,25OC27-CPBlock-Weekday-11,28926397,36 S Ridgeway To South Common,,1,2715915,360041,1,1
29,25OC27-CPBlock-Weekday-11,28926398,29 S Park Royal To Clarkson Go,,1,2715980,290117,1,1
29,25OC27-CPBlock-Weekday-11,28926399,29 N Park Royal To South Common,,0,2715993,290116,1,1
36,25OC27-CPBlock-Weekday-11,28926400,36 N Ridgeway To Winston Churchill Station,,0,2716245,360044,1,1
8,25OC27-CPBlock-Weekday-11,28926401,8 N Cawthra To City Centre,,0,2716074,80245,1,1
8,25OC27-CPBlock-Weekday-11,28926402,8 N Cawthra To City Centre,,0,2715907,80241,1,1
46,25OC27-CPBlock-Weekday-11,28926403,46 S Tenth Line To Erin Mills Station,,1,2716072,460044,1,1
302,25OC27-CPBlock-Weekday-11,28926404,302 W Philip Pocock Ss To City Centre,,1,2715917,3020024,1,1
2,25OC27-CPBlock-Weekday-11,28926405,2 S Hurontario To Port Credit Go,,1,2716153,20019,1,1
313,25OC27-CPBlock-Weekday-11,28926406,313 N Streetsville Ss To Meadowvale,,0,2715957,3130015,1,1
20,25OC27-CPBlock-Weekday-11,28926407,20 E Rathburn To Kipling Terminal,,0,2716060,200112,1,1
20,25OC27-CPBlock-Weekday-11,28926408,20 E Rathburn To Kipling Terminal,,0,2716243,200112,1,1
20,25OC27-CPBlock-Weekday-11,28926409,20 W Rathburn To City Centre,,1,2716244,200113,1,1
3,25OC27-CPBlock-Weekday-11,28926410,3 W Bloor To City Centre,,1,2716054,30125,1,1
36,25OC27-CPBlock-Weekday-11,28926411,36 S Ridgeway To South Common,,1,2715916,360041,1,1
307,25OC27-CPBlock-Weekday-11,28926412,307 W Philip Pocock Ss To School,,1,2715965,3070031,1,1
313,25OC27-CPBlock-Weekday-11,28926413,313 S Streetsville Ss To School,,1,2716078,3130016,1,1
8,25OC27-CPBlock-Weekday-11,28926414,8 S Cawthra To Port Credit Go,,1,2715967,80246,1,1
6,25OC27-CPBlock-Weekday-11,28926415,6 E Credit Woodlands To City Centre,,0,2716259,60143,1,1
13,25OC27-CPBlock-Weekday-11,28926416,13 S Glen Erin To Clarkson Go,,1,2716082,130139,1,1
38,25OC27-CPBlock-Weekday-11,28926417,38 N Creditview To Meadowvale,,0,2716084,380289,1,1
38,25OC27-CPBlock-Weekday-11,28926418,38 S Creditview To Cooksville Go,,1,2716028,380284,1,1
10,25OC27-CPBlock-Weekday-11,28926419,10 S Bristol City Centre,,1,2716070,100198,1,1
10,25OC27-CPBlock-Weekday-11,28926420,10 N Bristol To Meadowvale,,0,2716058,100200,1,1
10,25OC27-CPBlock-Weekday-11,28926421,10 N Bristol To Meadowvale,,0,2716076,100200,1,1
28,25OC27-CPBlock-Weekday-11,28926422,28 N Confederation To City Centre,,0,2716061,280133,1,1
46,25OC27-CPBlock-Weekday-11,28926423,46 N Tenth Line To Meadowvale,,0,2716077,460042,1,1
6,25OC27-CPBlock-Weekday-11,28926424,6 E Credit Woodlands To City Centre,,0,2716055,60143,1,1
23,25OC27-CPBlock-Weekday-11,28926425,23 W Lakeshore To Clarkson Go,,1,2715991,230096,1,1
2,25OC27-CPBlock-Weekday-11,28926426,2 N Hurontario To City Centre,,0,2715953,20021,1,1
28,25OC27-CPBlock-Weekday-11,28926427,28 S Confederation To Trillium,,1,2715992,280134,1,1
2,25OC27-CPBlock-Weekday-11,28926428,2 N Hurontario To City Centre,,0,2716257,20021,1,1
51,25OC27-CPBlock-Weekday-11,28926429,51 N Tomken To Bramalea Go,,0,2716062,510126,1,1
38,25OC27-CPBlock-Weekday-11,28926430,38 S Creditview To Cooksville Go,,1,2716246,380284,1,1
8,25OC27-CPBlock-Weekday-11,28926431,8 S Cawthra To Port Credit Go,,1,2715972,80246,1,1
8,25OC27-CPBlock-Weekday-11,28926432,8 N Cawthra To City Centre,,0,2715970,80242,1,1
8,25OC27-CPBlock-Weekday-11,28926433,8 N Cawthra To City Centre,,0,2716265,80241,1,1
